redundancy_cluster_id,direction,decision_tf,size,jaccard_threshold,representative_composite_id,alias_composite_ids,members,COMPOSITE_REDUNDANCY_METHOD
NR-000205,DOWN,30m,6,0.95,COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|b17f68c07c6fee6e,"[""COMP|T3_ANCHOR_TRANSITION|DOWN|1ca6e9e31d193906"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|0fcf979c2ddae76c"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|a5935a99b52caf20"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|c2df1fbf7b4e4ebe"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|d863cf8bad300441""]","[""COMP|T3_ANCHOR_TRANSITION|DOWN|1ca6e9e31d193906"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|0fcf979c2ddae76c"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|a5935a99b52caf20"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|b17f68c07c6fee6e"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|c2df1fbf7b4e4ebe"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|d863cf8bad300441""]",EVENT_STREAM_JACCARD
NR-000206,DOWN,30m,8,0.95,COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|e183aef96aa15f4f,"[""COMP|T3_ANCHOR_TRANSITION|DOWN|c587e058e346ea47"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|21df466475fdc8b8"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|5e90f8d35c089c11"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|5f185e5aeae5b9bf"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|6f722078baf1d74f"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|915562b548fb012d"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|a687c63f3b5b0bd2""]","[""COMP|T3_ANCHOR_TRANSITION|DOWN|c587e058e346ea47"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|21df466475fdc8b8"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|5e90f8d35c089c11"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|5f185e5aeae5b9bf"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|6f722078baf1d74f"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|915562b548fb012d"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|a687c63f3b5b0bd2"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|e183aef96aa15f4f""]",EVENT_STREAM_JACCARD
NR-000207,DOWN,30m,2,0.95,COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|a76e49b42090c737,"[""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|e370bd00b4feded1""]","[""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|a76e49b42090c737"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|e370bd00b4feded1""]",EVENT_STREAM_JACCARD
NR-000208,DOWN,30m,2,0.95,COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|d52fa935a829b4d5,"[""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|ee3baad40811b5ee""]","[""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|d52fa935a829b4d5"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|ee3baad40811b5ee""]",EVENT_STREAM_JACCARD
NR-000209,DOWN,30m,8,0.95,COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|76d421166063ac16,"[""COMP|T3_ANCHOR_TRANSITION|DOWN|024d0a77257ca9ce"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|088d5759105eb079"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|0a0fbdab2acb47e4"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|55585c1efb22c841"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|5aa136589b9ab79a"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|981246647260d073"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|a811d5bfc71e3222""]","[""COMP|T3_ANCHOR_TRANSITION|DOWN|024d0a77257ca9ce"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|088d5759105eb079"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|0a0fbdab2acb47e4"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|55585c1efb22c841"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|5aa136589b9ab79a"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|76d421166063ac16"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|981246647260d073"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|a811d5bfc71e3222""]",EVENT_STREAM_JACCARD
NR-000210,DOWN,30m,7,0.95,COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|34c58ff362f6c815,"[""COMP|T3_ANCHOR_TRANSITION|DOWN|2903a52ae0e6210b"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|053197e6f430984b"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|07810a8c2a4797bd"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|21ca4ba5250fdd29"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|9fc5bf9d8bdf8486"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|d90b7da35a951bc3""]","[""COMP|T3_ANCHOR_TRANSITION|DOWN|2903a52ae0e6210b"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|053197e6f430984b"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|07810a8c2a4797bd"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|21ca4ba5250fdd29"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|34c58ff362f6c815"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|9fc5bf9d8bdf8486"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|d90b7da35a951bc3""]",EVENT_STREAM_JACCARD
NR-000211,DOWN,30m,8,0.95,COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|177274e0c1a9f5b2,"[""COMP|T3_ANCHOR_TRANSITION|DOWN|8011782c6e3dd0bc"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|063020ebd3097676"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|5489474dc7926329"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|714382ac84307f62"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|aec76beb1a4b1021"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|bfe88d8e0abe2165"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|f615045b980ea130""]","[""COMP|T3_ANCHOR_TRANSITION|DOWN|8011782c6e3dd0bc"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|063020ebd3097676"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|177274e0c1a9f5b2"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|5489474dc7926329"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|714382ac84307f62"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|aec76beb1a4b1021"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|bfe88d8e0abe2165"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|f615045b980ea130""]",EVENT_STREAM_JACCARD
NR-000212,DOWN,30m,2,0.95,COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|70992c078e1761b0,"[""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|7926b7419c48742e""]","[""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|70992c078e1761b0"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|7926b7419c48742e""]",EVENT_STREAM_JACCARD
NR-000213,DOWN,30m,8,0.95,COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|703458ec42708f2c,"[""COMP|T3_ANCHOR_TRANSITION|DOWN|4fc19e4a11c6ae2e"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|1ad9d970eee8d3c8"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|37af451231fae9ad"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|aea76fd78a7f397a"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|d0b0e8e5ec683277"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|d60745961c17a138"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|e901fc5bca9336bb""]","[""COMP|T3_ANCHOR_TRANSITION|DOWN|4fc19e4a11c6ae2e"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|1ad9d970eee8d3c8"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|37af451231fae9ad"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|703458ec42708f2c"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|aea76fd78a7f397a"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|d0b0e8e5ec683277"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|d60745961c17a138"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|e901fc5bca9336bb""]",EVENT_STREAM_JACCARD
NR-000214,DOWN,30m,9,0.95,COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|dfc379d6c1de906e,"[""COMP|T3_ANCHOR_TRANSITION|DOWN|695db07cb61873ca"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|62ccc4871cda67f0"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|64ee80c8fe9acbb1"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|6715871ccfcf51ea"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|78f0ef5d3f746d9b"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|7db179175c1349d0"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|9b57d82dad305bf9"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|cecb4863a0471240""]","[""COMP|T3_ANCHOR_TRANSITION|DOWN|695db07cb61873ca"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|62ccc4871cda67f0"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|64ee80c8fe9acbb1"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|6715871ccfcf51ea"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|78f0ef5d3f746d9b"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|7db179175c1349d0"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|9b57d82dad305bf9"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|cecb4863a0471240"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|dfc379d6c1de906e""]",EVENT_STREAM_JACCARD
NR-000215,DOWN,30m,8,0.95,COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|02ea784e7d3f6f87,"[""COMP|T3_ANCHOR_TRANSITION|DOWN|3d5df0c2e28c2bc9"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|0d71bfdbd7f80604"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|1a758900b8fca1ce"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|68b3439c388bd640"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|9291c404a6b6800d"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|cd0d57ddfc7e1970"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|d57fbafd0edb1ec1""]","[""COMP|T3_ANCHOR_TRANSITION|DOWN|3d5df0c2e28c2bc9"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|02ea784e7d3f6f87"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|0d71bfdbd7f80604"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|1a758900b8fca1ce"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|68b3439c388bd640"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|9291c404a6b6800d"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|cd0d57ddfc7e1970"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|d57fbafd0edb1ec1""]",EVENT_STREAM_JACCARD
NR-000216,DOWN,30m,7,0.95,COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|ae755b37f9b67678,"[""COMP|T3_ANCHOR_TRANSITION|DOWN|a841752958a03c8f"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|158b1f9badb89207"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|2036812665c8937f"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|27ef85ebbfdb5263"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|3c27545605a205d4"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|bf24dc664697a7b4""]","[""COMP|T3_ANCHOR_TRANSITION|DOWN|a841752958a03c8f"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|158b1f9badb89207"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|2036812665c8937f"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|27ef85ebbfdb5263"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|3c27545605a205d4"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|ae755b37f9b67678"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|bf24dc664697a7b4""]",EVENT_STREAM_JACCARD
NR-000217,DOWN,30m,7,0.95,COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|e286934fc620d5b9,"[""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|038b787c590b37eb"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|17b9742e0f21abdb"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|27e07010a1abc545"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|c0dfe2ad8ddffc4d"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|da55924a641f59e5"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|ef76f1c2aeb411bc""]","[""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|038b787c590b37eb"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|17b9742e0f21abdb"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|27e07010a1abc545"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|c0dfe2ad8ddffc4d"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|da55924a641f59e5"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|e286934fc620d5b9"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|ef76f1c2aeb411bc""]",EVENT_STREAM_JACCARD
NR-000218,DOWN,30m,2,0.95,COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|066d60ea85476e62,"[""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|2e22e4fe1160373b""]","[""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|066d60ea85476e62"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|2e22e4fe1160373b""]",EVENT_STREAM_JACCARD
NR-000219,DOWN,30m,2,0.95,COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|47774ad350c75c62,"[""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|f773d1c353d725d8""]","[""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|47774ad350c75c62"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|f773d1c353d725d8""]",EVENT_STREAM_JACCARD
NR-000220,DOWN,30m,8,0.95,COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|cc0827fc2c5e169b,"[""COMP|T3_ANCHOR_TRANSITION|DOWN|61b84f1bc82ace39"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|477d5f85f68b4fc5"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|4c33171d449352d0"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|5d5d13287de7135b"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|93843759e448ed13"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|97400501c1549e11"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|fb1c42d2eee62457""]","[""COMP|T3_ANCHOR_TRANSITION|DOWN|61b84f1bc82ace39"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|477d5f85f68b4fc5"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|4c33171d449352d0"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|5d5d13287de7135b"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|93843759e448ed13"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|97400501c1549e11"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|cc0827fc2c5e169b"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|fb1c42d2eee62457""]",EVENT_STREAM_JACCARD
NR-000221,DOWN,30m,8,0.95,COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|dee9c8861b50ef88,"[""COMP|T3_ANCHOR_TRANSITION|DOWN|3dfbdc6bd311c78d"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|176073076dc43044"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|7e19e63d33619ea4"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|802d09c5c712eb5e"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|97262d5495a39e9f"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|ab3d1b80d38e50c1"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|ccab79bc4df19122""]","[""COMP|T3_ANCHOR_TRANSITION|DOWN|3dfbdc6bd311c78d"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|176073076dc43044"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|7e19e63d33619ea4"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|802d09c5c712eb5e"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|97262d5495a39e9f"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|ab3d1b80d38e50c1"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|ccab79bc4df19122"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|dee9c8861b50ef88""]",EVENT_STREAM_JACCARD
NR-000222,DOWN,30m,9,0.95,COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|423846988ccb4aa0,"[""COMP|T3_ANCHOR_TRANSITION|DOWN|4a072e6843a15462"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|0ab4ad276089e65d"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|20fb635f11fd1cdb"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|562d939f19d8d03a"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|587c12bb03df95af"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|7f98b0ecc12822be"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|9bb095dae343bcea"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|b5f59f278701e0ac""]","[""COMP|T3_ANCHOR_TRANSITION|DOWN|4a072e6843a15462"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|0ab4ad276089e65d"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|20fb635f11fd1cdb"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|423846988ccb4aa0"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|562d939f19d8d03a"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|587c12bb03df95af"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|7f98b0ecc12822be"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|9bb095dae343bcea"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|b5f59f278701e0ac""]",EVENT_STREAM_JACCARD
NR-000223,DOWN,30m,2,0.95,COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|234e108a16042087,"[""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|0f9a8c61c0b5d52c""]","[""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|0f9a8c61c0b5d52c"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|234e108a16042087""]",EVENT_STREAM_JACCARD
NR-000224,DOWN,30m,2,0.95,COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|aa8456cd574319bf,"[""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|dc2d81f24ff121c8""]","[""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|aa8456cd574319bf"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|dc2d81f24ff121c8""]",EVENT_STREAM_JACCARD
NR-000225,DOWN,30m,10,0.95,COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|6c313ddd1dbeab6d,"[""COMP|T3_ANCHOR_TRANSITION|DOWN|d750b3232035f15e"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|013319ed13fb1564"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|2065558ac8e5c7f6"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|432b01b73bff7d56"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|94ee4be49df9847a"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|96075433cb465c09"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|9fd4045541ddf1c7"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|ab6ccad02e4764cc"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|bbe765f8d541b2fe""]","[""COMP|T3_ANCHOR_TRANSITION|DOWN|d750b3232035f15e"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|013319ed13fb1564"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|2065558ac8e5c7f6"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|432b01b73bff7d56"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|6c313ddd1dbeab6d"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|94ee4be49df9847a"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|96075433cb465c09"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|9fd4045541ddf1c7"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|ab6ccad02e4764cc"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|bbe765f8d541b2fe""]",EVENT_STREAM_JACCARD
NR-000226,DOWN,30m,10,0.95,COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|ab2298da9bbadb10,"[""COMP|T3_ANCHOR_TRANSITION|DOWN|5f6f72c420121b36"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|134025f3a30a5c27"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|28a519c9b7d40d74"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|2f1b7381aeee29ab"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|30719b1b13f8c61b"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|aaceae4a238dd473"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|d25f7c3eca67d6fa"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|d969e3b3cb7170e3"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|fae2357af1bb0323""]","[""COMP|T3_ANCHOR_TRANSITION|DOWN|5f6f72c420121b36"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|134025f3a30a5c27"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|28a519c9b7d40d74"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|2f1b7381aeee29ab"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|30719b1b13f8c61b"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|aaceae4a238dd473"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|ab2298da9bbadb10"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|d25f7c3eca67d6fa"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|d969e3b3cb7170e3"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|fae2357af1bb0323""]",EVENT_STREAM_JACCARD
NR-000227,DOWN,30m,5,0.95,COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|f55343f806305803,"[""COMP|T3_ANCHOR_TRANSITION|DOWN|f27625af2cdc7641"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|22c954f0ca362d62"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|4fc557551b8bb41a"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|591c6bfc30ea71a4""]","[""COMP|T3_ANCHOR_TRANSITION|DOWN|f27625af2cdc7641"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|22c954f0ca362d62"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|4fc557551b8bb41a"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|591c6bfc30ea71a4"", ""COMP|T4_REGIME_ANCHOR_TRANSITION|DOWN|f55343f806305803""]",EVENT_STREAM_JACCARD
